,hero1,hero2
1545,"STRUCKER, ANDREA","VON STRUCKER, WERNER"
1546,MOONDRAGON/HEATHER D,DRAX/ARTHUR DOUGLAS
1547,BEAST/HENRY &HANK& P,CAPTAIN AMERICA
1548,HAWK,IRON MAN/TONY STARK 
1549,ZURAS,THENA
1550,SCREAMING MIMI/MELIS,WONDER MAN/SIMON WIL
1551,DR. STRANGE/STEPHEN ,"JARVIS, EDWIN "
1552,BLOODY BESS,STORM/ORORO MUNROE S
1553,POLARIS/LORNA DANE,MARROW/SARAH 
1554,GORGON [INHUMAN],IRON MAN/TONY STARK 
1555,COBRA/KLAUS VORHEES,ANACONDA/BLANCHE SIT
1556,ANT-MAN/DR. HENRY J.,RED SKULL/JOHANN SCH
1557,BANSHEE/SEAN CASSIDY,ASTRA
1558,FERAL/MARIA CALLASAN,THUNDERBIRD II/JAMES
1559,NIGHTCRAWLER/KURT WA,MAGMA/AMARA AQUILLA/
1560,SHADOWCAT/KATHERINE ,SCRIBE
1561,"MASTERS, ALICIA REIS",HELLCAT/PATSY WALKER
1562,MR. FANTASTIC/REED R,INVISIBLE WOMAN/SUE 
1563,KOFI [KYMELLIAN],GEE/ALEX POWER
1564,CITIZEN V III/DALLAS,JOLT/HALLIE TAKAHAMA
1565,WONDER MAN/SIMON WIL,VISION 
1566,ASP II/CLEO,BLACK MAMBA/TANYA SE
1567,RICTOR/JULIO ESTEBAN,BLACK KNIGHT V/DANE 
1568,"CHANG, IMEI","BLESSING, MORGANA"
1569,"WARD, SEN. STEWART",KRAVEN THE HUNTER II
1570,CAPTAIN AMERICA,CAPTAIN AMERICA
1571,INVISIBLE WOMAN/SUE ,"MOY, ALYSSA"
1572,SCREAMING MIMI/MELIS,"JONES, JANIS"
1573,SPEEDBALL/ROBBIE BAL,BEAST/HENRY &HANK& P
1574,"FURY, COL. NICHOLAS ",MR. FANTASTIC/REED R
1575,GAMBIT | MUTANT X-VE,BRUTE | MUTANT X-VER
1576,AGONY/,BEAST/HENRY &HANK& P
1577,TOM THUMB/THOMAS THO,DR. SPECTRUM/JOSEPH 
1578,"OSBORN, LIZ ALLAN","JAMESON, J. JONAH"
1579,"THOMPSON, EUGENE FLA","WATSON-PARKER, MARY "
1580,ULTRON,CRYSTAL [INHUMAN]
1581,STARSHINE III/ANARRA,SENTRY IV/VAL
1582,ANALYZER,THOR/DR. DONALD BLAK
1583,DR. OCTOPUS/OTTO OCT,SPIDER-WOMAN II/JULI
1584,NOVA II/FRANKIE RAYE,GAMORA
1585,SENTINELS,TESSA
1586,SPIDER-MAN/PETER PAR,"WATSON-PARKER, MARY "
1587,WRECKER III/DIRK GAR,DR. OCTOPUS/OTTO OCT
1588,CORSAIR,THUNDERSTRIKE/ERIC K
1589,"BURR, CLAYTON","FURY, COL. NICHOLAS "
1590,"SUEE, FAH LO","TARR, BLACK JACK"
1591,"KNIGHT, MISTY","DIAMOND, BOB"
1592,IRON MAN IV/JAMES R.,"LACOSTE, RAE"
1593,WONG,DAREDEVIL/MATT MURDO
1594,ZZZAX,ROCK/SAMUEL JOHN ROC
1595,QUICKSILVER/PIETRO M,ANGEL/WARREN KENNETH
1596,SCARLET WITCH/WANDA ,MACHINE MAN/X-51
1597,CAPTAIN MARVEL II/MO,MOCKINGBIRD/DR. BARB
1598,CYCLOPS/SCOTT SUMMER,ZABU
1599,STORM/ORORO MUNROE S,WOLFSBANE/RAHNE SINC
1600,"BENTLEY, MILES","SINCLAIR, MORGAN"
1601,MARVEL GIRL/JEAN GRE,SPIDER-MAN/PETER PAR
1602,NOVA/RICHARD RIDER,WARBOW/
1603,QUICKSILVER/PIETRO M,FALCON/SAM WILSON
1604,TURBO II (A)/MICHIKO,SPEEDBALL II/DARRION
1605,HERCULES [GREEK GOD],WHITE QUEEN/EMMA FRO
1606,MEGGAN,CAPTAIN BRITAIN/BRIA
1607,WONG,HULK/DR. ROBERT BRUC
1608,DIAMOND LIL/LILLIAN ,SHE-HULK/JENNIFER WA
1609,"JENKINS, WALTER",KINGPIN/WILSON FISK
1610,"MANH, COY LEONG XUI",BEAST/HENRY &HANK& P
1611,WONG,UMAR
1612,NEBULA,FIRELORD/PYREUS KRIL
1613,IRON MAN/TONY STARK ,DEATH
1614,WONG,CLEA
1615,"CARTER, PEGGY",REDWING
1616,MIRAGE II/DANIELLE M,SNAKE
1617,"BALDWIN, JUSTIN",PUNISHER II/FRANK CA
1618,PERSUASION/KARA KILL,"HUDSON, HEATHER"
1619,CAPTAIN HAWK,NIGHTHAWK/KYLE RICHM
1620,ELEKTRA/ELEKTRA NATC,AMERICAN SAMURAI/
1621,"ROBERTSON, JOE",SCORPION/MACDONALD G
1622,RAGE/ELVIN DARYL HAL,SPEEDBALL/ROBBIE BAL
1623,"TOWER, BLAKE",CHAMELEON/DMITRI SME
1624,HULK/DR. ROBERT BRUC,SUB-MARINER/NAMOR MA
1625,HUMAN TORCH/JOHNNY S,MEDUSA/MEDUSALITH AM
1626,SPIDER-MAN III/MARTH,"WATSON-PARKER, MARY "
1627,PESTILENCE/CAPT. F.R,MARRINA/MARRINA SMAL
1628,VOLSTAGG,"CODY, GARY"
1629,SIKORSKY,GALEN
1630,HAWK,MOONDRAGON/HEATHER D
1631,CANNONBALL II/SAM GU,CYBER
1632,"JONES, DANIEL DANNY","ROM, SPACEKNIGHT"
1633,"LEEDS, BETTY BRANT",FANCY DAN
1634,BLACK KNIGHT V/DANE ,RAA
1635,PHOENIX III/RACHEL S,MS. MARVEL II/SHARON
1636,STORM/ORORO MUNROE S,SHADOWCAT/KATHERINE 
1637,KARKAS [DEVIANT],REJECT/RAN-SAK [DEVI
1638,WONDER MAN/SIMON WIL,IRON MAN/TONY STARK 
1639,PROSH,"DRAKE, WILLIAM ROBER"
1640,WARLOCK III,BALDER [ASGARDIAN]
1641,STORM/ORORO MUNROE S,WOLVERINE/LOGAN 
1642,MALICE IV,HAVOK/ALEX SUMMERS 
1643,PHOENIX III/RACHEL S,LOCKHEED
1644,REJECT/RAN-SAK [DEVI,"DAMIAN, MARGO"
1645,WAR/ABRAHAM LINCOLN ,ANGEL/WARREN KENNETH
1646,ODIN [ASGARDIAN],THOR/DR. DONALD BLAK
1647,"GREER, GABRIELLE",GRIM HUNTER/KRAVINOF
1648,THOR/DR. DONALD BLAK,"RYAN, THOMAS"
1649,MISS AMERICA/MADELIN,PATRIOT/JEFF MACE
1650,CRYSTAL [INHUMAN],"GAMBONNO, LUIGI"
1651,SANDMAN/WILLIAM BAKE,N'DELE
1652,TALISMAN II/ELIZABET,WOLVERINE/LOGAN 
1653,"RAM, SIR",PYRO/ALLERDYCE JOHNN
1654,"AUTHIER, POLICE CHIE",BRAINY
1655,NORTHSTAR/JEAN-PAUL ,PISCES II
1656,SHIP,WARLOCK III
1657,BEETLE/ABNER RONALD ,DR. DOOM/VICTOR VON 
1658,SPIDER-MAN/PETER PAR,KA-ZAR/KEVIN PLUNDER
1659,MS. MARVEL II/SHARON,IRON MAN/TONY STARK 
1660,FIREBRAND/GARY GILBE,CLOWN/CRAFTY ELIOT F
1661,CHAMELEON/DMITRI SME,"PARKER, MAY"
1662,THUNDERSTRIKE/ERIC K,ABSORBING MAN/CARL C
1663,BARON MORDO/KARL MOR,ARKON
1664,"THOMPSON, EUGENE FLA","CUSHING, KATE"
1665,"BERNSTEIN, DR. NOAH","CAGE, LUKE/CARL LUCA"
1666,GENERAL ADMISSION,SPEEDBALL II/DARRION
1667,STORM/ORORO MUNROE S,WOLFSBANE/RAHNE SINC
1668,"GILBERT, ROXANNE",IRON MAN III/EDDIE M
1669,TOI/REXEL TOIVEN,DINU
1670,THING/BENJAMIN J. GR,LOBO
1671,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
1672,HARDBALL,LIVING LIGHTNING/MIG
1673,"LEEDS, BETTY BRANT",SPIDER-MAN/PETER PAR
1674,BALDER [ASGARDIAN],THUNDERSTRIKE/ERIC K
1675,ARCLIGHT/PHILLIPA SO,"CARTER, PEGGY"
1676,SPIDER-MAN/PETER PAR,JACKAL/MILES WARREN
1677,HYPERION,OVERMIND/GROM
1678,SHADOW KING/AMAHL FA,DAYTRIPPER/AMANDA SE
1679,WOLVERINE/LOGAN ,JUBILEE/JUBILATION L
1680,GALACTUS/GALAN,CAPTAIN AMERICA DOPP
1681,MIMIC/CALVIN RANKIN,BODYBAG
1682,IRON MAN/TONY STARK ,"SILVANI, VITTORIO"
1683,MACHINE MAN/X-51,BLACK WIDOW/NATASHA 
1684,WASP/JANET VAN DYNE ,WONDER MAN/SIMON WIL
1685,BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L
1686,STORM/ORORO MUNROE S,"LANG, DR. STEVEN"
1687,"STARK, HOWARD",FIRESTAR/ANGELICA JO
1688,"DUGAN, TIMOTHY ALOYI",WONDER MAN/SIMON WIL
1689,"ROGERS, GAYLE",FLYING TIGER
1690,DAYTRIPPER/AMANDA SE,FORGE
1691,DAZZLER II/ALLISON B,PIPELINE/CORMICK GRI
1692,THING/BENJAMIN J. GR,HULK/DR. ROBERT BRUC
1693,CHAMBER/JONOTHON STA,"PIERCE, DONALD"
1694,COLOSSUS II/PETER RA,DEATH
1695,BLACK BOLT/BLACKANTO,ANGEL/WARREN KENNETH
1696,HOLY/FATHER HECTOR R,PUNISHER II/FRANK CA
1697,"O'BREEN, GLORIANNA",DAREDEVIL/MATT MURDO
1698,RINTRAH,EPOCH
1699,STUNT-MASTER/GEORGE ,ENFORCER/DELAZNY
1700,PSYLOCKE/ELISABETH B,ANGEL/WARREN KENNETH
1701,SHADOWCAT/KATHERINE ,"BLAIRE, CARTER"
1702,TOAD/MORTIMER TOYNBE,CYCLOPS/SCOTT SUMMER
1703,STARSHINE II/BRANDY ,"ADAMS, CINDY"
1704,LEECH,SABRETOOTH/VICTOR CR
1705,WIZARD/BENTLEY WITTM,THOR/DR. DONALD BLAK
1706,SCHEMER/RICHARD FISK,SPIDER-MAN/PETER PAR
1707,CAPTAIN AMERICA,HELLCAT/PATSY WALKER
1708,VISION ,SASQUATCH/WALTER LAN
1709,"STAPLES, EDNA M. GRA","SIKORSKY, RAYMOND"
1710,MAELSTROM/MALCOLM ST,TRUTH
1711,"MANH, COY NGA",BEAST/HENRY &HANK& P
1712,STORM/ORORO MUNROE S,SHANG-CHI
1713,USAGENT/CAPTAIN JOHN,IRON MAN/TONY STARK 
1714,MOLE,BEAST/HENRY &HANK& P
1715,RED GHOST/IVAN KRAGO,CAPTAIN MARVEL/CAPTA
1716,PATRIOT/JEFF MACE,MISS AMERICA/MADELIN
1717,"ARBOGAST, BAMBI",THENA
1718,APOCALYPSE/EN SABAH ,BISHOP /
1719,"O'BREEN, GLORIANNA",DAREDEVIL/MATT MURDO
1720,THOR/DR. DONALD BLAK,QUICKSILVER/PIETRO M
1721,MOONDRAGON/HEATHER D,DRAX/ARTHUR DOUGLAS
1722,CAPTAIN MARVEL II/MO,SCARLET WITCH/WANDA 
1723,THUNDERSTRIKE/ERIC K,BLOODAXE/JACKIE LUKU
1724,AJAX,WILD MAN/ALEX WILDMA
1725,CRYSTAL [INHUMAN],LILANDRA NERAMANI [S
1726,STORM/ORORO MUNROE S,MAGNETO/MAGNUS/ERIC 
1727,"LEEDS, BETTY BRANT","THOMPSON, EUGENE FLA"
1728,"BYRD, NATHANIEL ALEX","AYALA, AWILDA"
1729,HULK/DR. ROBERT BRUC,DELPHI
1730,"LUMPKIN, WILHEMINA B",MR. FANTASTIC/REED R
1731,SHADES,"KNIGHT, MISTY"
1732,VISION ,SCARLET WITCH/WANDA 
1733,WOLVERINE/LOGAN ,DEMOLITION MAN/DENNI
1734,CYPHER/DOUG RAMSEY,GAMBIT/REMY LEBEAU 
1735,HUMAN TORCH/JOHNNY S,HULK DOPPELGANGER II
1736,HUMAN TORCH/JOHNNY S,FLY
1737,KURSE/ALGRIM [ASGARD,SURTUR
1738,DRAGON MAN,LYJA LAZERFIST [SKRU
1739,MARVEL GIRL/JEAN GRE,MOLE MAN/HARVEY RUPE
1740,REPTILLA,HYDRON
1741,MEPHISTO,SILVER SURFER/NORRIN
1742,NOVA II/FRANKIE RAYE,SASQUATCH/WALTER LAN
1743,TYPHON,SCARLET WITCH/WANDA 
1744,"DUGAN, TIMOTHY ALOYI",JOLT/HALLIE TAKAHAMA
1745,THUNDRA,"KINCAID, DR. JANE FO"
1746,CYCLOPS/SCOTT SUMMER,PROFESSOR X/CHARLES 
1747,ROCKWALL,SLYDE
1748,THING/BENJAMIN J. GR,BLACK PANTHER/T'CHAL
1749,"SLOAN, JASON",DAREDEVIL/MATT MURDO
1750,IRON MAN IV/JAMES R.,MOCKINGBIRD/DR. BARB
1751,MIRAGE II/DANIELLE M,WOLFSBANE/RAHNE SINC
1752,MAGMA/AMARA AQUILLA/,"FRIEDLANDER, SHARON"
1753,"CARLISLE, JENNA","BEACH, GINGER"
1754,PERRIKUS,"O'NEILL, DET. BRADY"
1755,IRON MAN/TONY STARK ,ANT-MAN/DR. HENRY J.
1756,WASP/JANET VAN DYNE ,HAWK
1757,DOPPELGANGER,"WATSON-PARKER, MARY "
1758,TIGRA/GREER NELSON,FIRELORD/PYREUS KRIL
1759,"TSURAYABA, MATSUO",PROFESSOR X/CHARLES 
1760,ETERNITY/ADAM QADMON,WOLVERINE/LOGAN 
1761,THOR/DR. DONALD BLAK,SUB-MARINER/NAMOR MA
1762,IRON MAN IV/JAMES R.,"CARPENTER, RACHEL"
1763,GLADIATOR II,ROGUE /
1764,THANOS,ZIRAN
1765,THOR/DR. DONALD BLAK,SIF
1766,"JAMESON, J. JONAH","THOMPSON, EUGENE FLA"
1767,RANDI,BAMBI
1768,EENY,"FITZROY, TREVOR"
1769,ARES [GREEK GOD],VENUS/APHRODITE/VICT
1770,BEETLE/ABNER RONALD ,CAPTAIN AMERICA
1771,DAREDEVIL/MATT MURDO,THOR/DR. DONALD BLAK
1772,GORGON [INHUMAN],SNOWBIRD/NARYA/ANNE 
1773,"PALMIOTTI, JIMMY","LEE, STAN"
1774,HERCULES [GREEK GOD],CAPTAIN AMERICA
1775,UNUS THE UNTOUCHABLE,DR. STRANGE/STEPHEN 
1776,WHITE TIGER II/,HUMAN TORCH ANDROID/
1777,CAPTAIN AMERICA,ROCK PYTHON
1778,"HUXLEY, DR. ALDA",SCANNER II
1779,TOLLIVER,"JOSHUA, DR. SEGISMUN"
1780,FEAR EATER/KKALLAKKU,RINTRAH
1781,TONGAH,SHANNA/SHANNA O'HARA
1782,CAPTAIN AMERICA,SPIDER-MAN/PETER PAR
1783,SPIDER-WOMAN/JESSICA,BEAST/HENRY &HANK& P
1784,"SUMMERS, NATHAN CHRI",BLAQUESMITH
1785,"KNIGHT, MISTY",SUPER SKRULL/KL'RT
1786,CAPTAIN AMERICA,BLACK PANTHER/T'CHAL
1787,VISION ,KARNAK [INHUMAN]
1788,SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL
1789,ANGEL/WARREN KENNETH,MARX
1790,GALACTUS/GALAN,BLACK CAT/FELICIA HA
1791,THANOS,ARCANNA/ARCANNA JONE
1792,"ENGLEHART, STEVE",HILDEGARDE [ASGARDIA
1793,DIAMOND LIL/LILLIAN ,WINDSHEAR/COLIN ASHW
1794,GOLDDIGGER,VERTIGO II
1795,"SUMMERS, NATHAN CHRI",GIDEON
1796,WHITE QUEEN/EMMA FRO,BRAINY
1797,SNOWBIRD/NARYA/ANNE ,"PEREGRINE, LE/FRANCK"
1798,VISION ,ANGEL/WARREN KENNETH
1799,BLACK PANTHER | MUTA,SUB-MARINER | MUTANT
1800,TARBABY,ERG
1801,AGAMEMNON III/,HULK/DR. ROBERT BRUC
1802,ICEMAN/ROBERT BOBBY ,MARVEL GIRL/JEAN GRE
1803,DARKSTAR/LAYNIA SERG,DAREDEVIL/MATT MURDO
1804,DYNA-MITE/ROGER AUBR,CAPTAIN MARVEL III/G
1805,ULIK,LOKI [ASGARDIAN]
1806,SPIDER-MAN/PETER PAR,"COOPER, DR. VALERIE"
1807,FIRELORD/PYREUS KRIL,CAPTAIN AMERICA
1808,DOMINA,PSYLOCKE/ELISABETH B
1809,WARLOCK III,"DURAN, CONAL"
1810,LOKI [ASGARDIAN],HEIMDALL [ASGARDIAN]
1811,LEECH,PRISM
1812,RED GUARDIAN III/DR.,SERGEI
1813,BINARY/CAROL DANVERS,WONDER MAN/SIMON WIL
1814,LIGHTSPEED/JULIE POW,GORGON [INHUMAN]
1815,FIRESTAR/ANGELICA JO,PROFESSOR X/CHARLES 
1816,"BRADLEY, HANK","CASE, COL. PRESTON"
1817,WOLVERINE/LOGAN ,COLLECTOR/TANELEER T
1818,PATRIOT/JEFF MACE,PATRIOT/JEFF MACE
1819,IRON MAN/TONY STARK ,WASP/JANET VAN DYNE 
1820,SUB-MARINER/NAMOR MA,WOLFSBANE/RAHNE SINC
1821,MOONSTONE/LLOYD BLOC,"RIDDLEY, HIRAM RAM"
1822,BLACK PANTHER/T'CHAL,DEVLOR
1823,DELILAH,"WATSON-PARKER, MARY "
1824,MAXIMUS [INHUMAN],CRYSTAL [INHUMAN]
1825,"PARKER, MAY",NITRO/ROBERT L. HUNT
1826,ARRANGER/,SCHEMER/RICHARD FISK
1827,PSIREN,RELAY
1828,FIRELORD/PYREUS KRIL,NEBULA
1829,HRIMHARI,CANNONBALL II/SAM GU
1830,"JONES, GABE",HELLCAT/PATSY WALKER
1831,"HARKNESS, AGATHA",THOR/DR. DONALD BLAK
1832,PROFESSOR X/CHARLES ,RAZA LONGKNIFE
1833,SHE-HULK/JENNIFER WA,STARFOX/EROS
1834,BLACK PANTHER/T'CHAL,BLITZKRIEG/
1835,JOCASTA,CAPTAIN AMERICA
1836,KARMA/XI'AN COY MANH,SHOTGUN/ZEKE SALLING
1837,RICOCHET/SEN. STEVEN,MR. SINISTER/NATHAN 
1838,TRITON,BEAST/HENRY &HANK& P
1839,SCANNER II,JAVITZ
1840,"OSBORN, HARRY",HOBGOBLIN V/JASON PH
1841,HULK DOPPELGANGER II,INVISIBLE WOMAN/SUE 
1842,RAX,COLOSSUS II/PETER RA
1843,ANT-MAN/DR. HENRY J.,WASP/JANET VAN DYNE 
1844,"GREY, JEAN | MUTANT ",WOLVERINE | MUTANT X
1845,FORGOTTEN ONE/GILGAM,SERSI/SYLVIA
1846,DRAX/ARTHUR DOUGLAS,GAMORA
1847,BUSHWACKER/CARL,"SPECTRUM, SINCLAIR"
1848,BLACK PANTHER/T'CHAL,IRON FIST/DANIEL RAN
1849,MAGUS II,CR'REEE
1850,DR. DRUID/ANTHONY LU,MASTER/ESHU
1851,APOCALYPSE/EN SABAH ,PROFESSOR X/CHARLES 
1852,"STALYENKO, COL. YURI",DINU
1853,"HOGARTH, JERYN",SPIDER-MAN/PETER PAR
1854,ODIN [ASGARDIAN],HOGUN [ASGARDIAN]
1855,MIDNIGHT'S FIRE/,SPEEDBALL/ROBBIE BAL
1856,"FIELSTEIN, FIREWORKS",UROC
1857,COLOSSUS II/PETER RA,LOCKHEED
1858,VIZIER,ODIN [ASGARDIAN]
1859,"PARKER, MAY","KNIGHT, MISTY"
1860,MR. FANTASTIC/REED R,THUNDRA
1861,THOR/DR. DONALD BLAK,EEL/LEOPOLD STRYKE
1862,NIGHTHAWK/KYLE RICHM,GOLDEN ARCHER II/WYA
1863,"POWELL, JONATHAN",DARKHAWK/CHRIS POWEL
1864,"CANTOR, VERA",MIMIC/CALVIN RANKIN
1865,STARBOLT,WARSTAR
1866,HAVOK/ALEX SUMMERS ,"MACTAGGERT, MOIRA KI"
1867,THUNDERBIRD II/JAMES,MAGMA/AMARA AQUILLA/
1868,BISHOP /,SIRYN/THERESA ROURKE
1869,CITIZEN V II/HELMUT ,CHARCOAL/CHARLIE BUR
1870,"RYKER, HARLAN","HU, DR."
1871,SHANG-CHI,KINGPIN/WILSON FISK
1872,THOR/DR. DONALD BLAK,GAMBIT/REMY LEBEAU 
1873,LYJA LAZERFIST [SKRU,"RICHARDS, FRANKLIN B"
1874,DR. DOOM/VICTOR VON ,NIGHTCRAWLER/KURT WA
1875,S'YM,SCARLET WITCH/WANDA 
1876,AURORA/JEANNE-MARIE ,WOLVERINE/LOGAN 
1877,WIDGET,GATECRASHER
1878,"LANG, CASSANDRA CASS",GHAUR [DEVIANT]
1879,MAGNETO/MAGNUS/ERIC ,ICEMAN/ROBERT BOBBY 
1880,SHANNA/SHANNA O'HARA,RHINO
1881,ROGUE /,FAMINE/AUTUMN ROLFSO
1882,WOLVERINE/LOGAN ,STICK
1883,"LEEDS, BETTY BRANT","PARKER, MAY"
1884,HOGUN [ASGARDIAN],EXECUTIONER II/SKURG
1885,"MERCADO, JOY","OSBORN, HARRY"
1886,RAVONNA LEXUS RENSLA,THOR/DR. DONALD BLAK
1887,TWO-GUN KID,THOR/DR. DONALD BLAK
1888,"DRUMM, JERICHO",SHADOWCAT/KATHERINE 
1889,"CAMPBELL, DR. RORY",YAP
1890,MEDUSA/MEDUSALITH AM,BLACK PANTHER/T'CHAL
1891,BLACK BOLT/BLACKANTO,SWORDSMAN/JACQUES DU
1892,NIGHTCRAWLER/KURT WA,INVISIBLE WOMAN/SUE 
1893,THING DOPPELGANGER,SASQUATCH/WALTER LAN
1894,MANDARIN,"BENNING, VERONICA"
1895,MOCKINGBIRD/DR. BARB,DOMINUS II
1896,"NORRISS, SISTER BARB",DOLLAR BILL
1897,BOMBSHELL/,NIGHT THRASHER/DUANE
1898,ICEMAN/ROBERT BOBBY ,ANGEL/WARREN KENNETH
1899,"BALLANTINE, KAYLA",DR. DRUID/ANTHONY LU
1900,SHAMAN/MICHAEL TWOYO,SCARLET WITCH/WANDA 
1901,DREADKNIGHT/BRAM VEL,BATTLESTAR/LEMAR HOS
1902,"CHORD, ANDREW",JUSTICE II/VANCE AST
1903,LIVING LIGHTNING/MIG,WASP/JANET VAN DYNE 
1904,"SEWARD, DR. CHARLES","FLORESCU, ANTON"
1905,ODIN [ASGARDIAN],HOGUN [ASGARDIAN]
1906,FALCON/SAM WILSON,JACK FLAG/
1907,"ROBERTSON, MARTHA",BLACK CAT/FELICIA HA
1908,ULYSSES II,"BANNER, BETTY ROSS T"
1909,"WATSON-PARKER, MARY ",TRAPSTER/PETER PETRU
1910,"WATSON-PARKER, MARY ","JAMESON, J. JONAH"
1911,PROFESSOR X/CHARLES ,CAPTAIN AMERICA
1912,MOCKINGBIRD/DR. BARB,ANT-MAN/DR. HENRY J.
1913,CAPTAIN AMERICA,PHARAOH RAMA-TUT
1914,"TANAKA, KENJIRO",THING/BENJAMIN J. GR
1915,"COOPER, DR. VALERIE",POLARIS/LORNA DANE
1916,"RICHARDS, FRANKLIN B",IRIDIA [INHUMAN]
1917,"ROBERTSON, JOE","PARKER, MAY"
1918,THUNDERBALL/DR. ELIO,LOKI [ASGARDIAN]
1919,ICEMAN/ROBERT BOBBY ,PROFESSOR X/CHARLES 
1920,"MACTAGGERT, MOIRA KI",HAVOK/ALEX SUMMERS 
1921,HELLCAT/PATSY WALKER,NAMORITA/NITA PRENTI
1922,"SIKORSKY, RAYMOND","CUSHING, KATE"
1923,KLAW/ULYSSES KLAW,HUMAN TORCH ANDROID/
1924,CYCLONE,SCOURGE
1925,POLARIS/LORNA DANE,"COOPER, DR. VALERIE"
1926,MASTER/ESHU,MISS MASS/
1927,THUNDERBIRD II/JAMES,"FURY, COL. NICHOLAS "
1928,"JAMESON, COL. JOHN ",SPIDER-MAN CLONE/BEN
1929,DRAX/ARTHUR DOUGLAS,DAGGER/TANDY BOWEN
1930,MOONSTONE II/KARLA S,VISION 
1931,NIGHT THRASHER/DUANE,CRIMSON COWL II/
1932,CYCLOPS/SCOTT SUMMER,ROGUE /
1933,MISS AMERICA/MADELIN,PATRIOT/JEFF MACE
1934,GRONK,MAKKARI/MIKE KHARY/I
1935,IRON MAN/TONY STARK ,"RICHARDS, FRANKLIN B"
1936,WONG,AGED GENGHIS
1937,HULK/DR. ROBERT BRUC,"HARKNESS, AGATHA"
1938,HAWK,SILVER SURFER/NORRIN
1939,BLACK TARANTULA II/C,FORTUNATO
1940,BLACK PANTHER/T'CHAL,"LYNNE, MONICA"
1941,CAPTAIN AMERICA,"CARTER, SHARON"
1942,NORTHSTAR/JEAN-PAUL ,WITCHFIRE
1943,CANNONBALL II/SAM GU,COLOSSUS II/PETER RA
1944,"RODGERS, MARIANNE",MADAME MASQUE/GIULIE
1945,TATTERDEMALION/,BROTHERS GRIMM II/BA
1946,"GRANT, PHILLIP","FURY, COL. NICHOLAS "
1947,DEATHBIRD [SHI'AR],COLOSSUS II/PETER RA
1948,GALACTUS/GALAN,VOLCANA/MARSHA ROSEN
1949,HAWK,POWER MAN/ERIK JOSTE
1950,WARLOCK III,LOKI [ASGARDIAN]
1951,SPIDER-MAN/PETER PAR,"THOMPSON, EUGENE FLA"
1952,CAPTAIN AMERICA,VALINOR
1953,CR'REEE,MAM'SELLE HEPZIBAH
1954,STORM/ORORO MUNROE S,ANT-MAN II/SCOTT HAR
1955,THINKER,LYJA LAZERFIST [SKRU
1956,DR. SYNNE,"FRASER, DET. KATE"
1957,GOSAMYR,LIGHTSPEED/JULIE POW
1958,BANSHEE/SEAN CASSIDY,"GUTHRIE, LUCINDA"
1959,CANDRA,"RAYMOND, HENRY/ADAM "
1960,STORM/ORORO MUNROE S,CANNONBALL II/SAM GU
1961,SPIDER-MAN CLONE/BEN,TARANTULA/ANTON MIGU
1962,AGAMEMNON III/,IRONCLAD
1963,HAVOK/ALEX SUMMERS ,"SUMMERS, NATHAN CHRI"
1964,RECORDER II,SPIDER-WOMAN II/JULI
1965,"PARKER, MAY","JAMESON, J. JONAH"
1966,SIF,EILIF DRAGONSLAYER
1967,VENUS II,MARVEL BOY III/ROBER
1968,SCARLET WITCH/WANDA ,IRON MAN/TONY STARK 
1969,WASP/JANET VAN DYNE ,HAWK
1970,AVALANCHE/DOMINIC PE,MEDUSA/MEDUSALITH AM
1971,"CAGE, LUKE/CARL LUCA",HULK/DR. ROBERT BRUC
1972,STAR-STALKER,COUNTERWEIGHT II/KAT
1973,SHADOWCAT/KATHERINE ,MAGMA/AMARA AQUILLA/
1974,LILANDRA NERAMANI [S,PHOENIX III/RACHEL S
1975,"PAGE, KAREN","NELSON, FRANKLIN FOG"
1976,RAZA LONGKNIFE,COLOSSUS II/PETER RA
1977,THUNDERBIRD II/JAMES,ICEMAN/ROBERT BOBBY 
1978,NEBULA,IRON MAN/TONY STARK 
1979,PROFESSOR X/CHARLES ,STORM/ORORO MUNROE S
1980,QUASAR III/WENDELL V,JACK OF HEARTS/JACK 
1981,EGO-PRIME,FANDRAL [ASGARDIAN]
1982,"ALRAUNE, MARLENE","CAGE, LUKE/CARL LUCA"
1983,CLOAK/TYRONE JOHNSON,MARVEL GIRL/JEAN GRE
1984,CANNONBALL/SAM GUTHR,HAVOK/ALEX SUMMERS 
1985,SCARLET WITCH/WANDA ,VISION 
1986,APOCALYPSE | MUTANT ,BLOODSTORM | MUTANT 
1987,GIDEON,FERAL/MARIA CALLASAN
1988,TOSHI,CYCLOPS/SCOTT SUMMER
1989,SCREAMING MIMI/MELIS,DAREDEVIL/MATT MURDO
1990,THUNDERSTRIKE/ERIC K,BLACK KNIGHT V/DANE 
1991,PENANCE/MONET ST. CR,TOKEN
1992,IRON MAN/TONY STARK ,CENTURY
1993,JASON II,EARTHQUAKE
1994,X-MAN/NATHAN GREY ,INVISIBLE WOMAN/SUE 
1995,HAWK,WRECKER III/DIRK GAR
1996,DORMAMMU,"NORRISS, SISTER BARB"
1997,SCARLET WITCH/WANDA ,"MAXIMOFF, DJANGO"
1998,WONG,HELLCAT/PATSY WALKER
1999,ODIN [ASGARDIAN],SPLICE/CHANDRA KU
